feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,32463,x,32463,x,32816,x,32816,x,-353,x,-353,x
ohne Wahlschein,24437,75.3,24437,75.3,27059,82.5,27059,82.5,-2622,-7.2,-2622,-7.2
mit Wahlschein,8026,24.7,8026,24.7,5757,17.5,5757,17.5,2269,7.2,2269,7.2
Wählende,17337,53.4,17337,53.4,20044,61.1,20044,61.1,-2707,-7.7,-2707,-7.7
darunter Briefwählende,7115,41,7115,41,5373,26.8,5373,26.8,1742,14.2,1742,14.2
Abgegebene Stimmen,17320,x,17297,x,20005,x,20022,x,-2685,x,-2725,x
Ungültige Stimmen,190,1.1,153,0.9,485,2.4,473,2.4,-295,-1.3,-320,-1.5
Gültige Stimmen,17130,98.9,17144,99.1,19520,97.6,19549,97.6,-2390,1.3,-2405,1.5
SPD,4095,23.9,3642,21.2,6848,35.1,5579,28.5,-2753,-11.2,-1937,-7.3
CDU,5897,34.4,5889,34.4,4411,22.6,4170,21.3,1486,11.8,1719,13
GRÜNE,2141,12.5,2082,12.1,1623,8.3,1843,9.4,518,4.2,239,2.7
DIE LINKE,936,5.5,1016,5.9,1382,7.1,1493,7.6,-446,-1.6,-477,-1.7
AfD,1898,11.1,1858,10.8,3234,16.6,3181,16.3,-1336,-5.5,-1323,-5.4
FDP,682,4,776,4.5,1308,6.7,1372,7,-626,-2.7,-596,-2.5
Die PARTEI,341,2,255,1.5,x,x,306,1.6,341,2,-51,-0.1
Tierschutzpartei,824,4.8,640,3.7,x,x,502,2.6,824,4.8,138,1.2
PIRATEN,x,x,89,0.5,497,2.5,344,1.8,-497,-2.5,-255,-1.2
Graue Panther,x,x,122,0.7,x,x,306,1.6,x,x,-184,-0.9
NPD,x,x,22,0.1,x,x,107,0.5,x,x,-85,-0.4
Gesundheitsforschung,x,x,48,0.3,x,x,114,0.6,x,x,-66,-0.3
LKR,x,x,10,0.1,x,x,78,0.4,x,x,-68,-0.3
DKP,x,x,9,0.1,x,x,10,0.1,x,x,-1,0
SGP,x,x,7,0,x,x,17,0.1,x,x,-10,0
BüSo,x,x,2,0,x,x,12,0.1,x,x,-10,0
B*,x,x,7,0,x,x,x,x,x,x,7,0
ÖDP,x,x,25,0.1,x,x,x,x,x,x,25,0.1
dieBasis,163,1,119,0.7,x,x,x,x,163,1,119,0.7
Bildet Berlin!,x,x,26,0.2,x,x,x,x,x,x,26,0.2
Die Grauen,x,x,105,0.6,x,x,x,x,x,x,105,0.6
du.,x,x,22,0.1,x,x,x,x,x,x,22,0.1
BÜNDNIS21,x,x,15,0.1,x,x,x,x,x,x,15,0.1
FREIE WÄHLER,x,x,33,0.2,x,x,x,x,x,x,33,0.2
Klimaliste Berlin,x,x,23,0.1,x,x,x,x,x,x,23,0.1
MIETERPARTEI,x,x,61,0.4,x,x,x,x,x,x,61,0.4
Die Humanisten,x,x,35,0.2,x,x,x,x,x,x,35,0.2
Team Todenhöfer,x,x,120,0.7,x,x,x,x,x,x,120,0.7
Volt,x,x,86,0.5,x,x,x,x,x,x,86,0.5
EB,153,0.9,x,x,x,x,x,x,153,0.9,x,x
Sonstige,x,x,x,x,217,1.1,115,0.6,x,x,x,x
