party,second_votes,direct_mandates
Abgegebene Zweitstimmen,1527899,x
Mindeststimmenzahl (5%-Sperrklausel),76395,x
SPD,279017,4
CDU,428228,48
GRÜNE,278964,20
DIE LINKE,185119,4
AfD,137871,2
FDP,70416,0
Die PARTEI,21570,0
Tierschutzpartei,36273,0
PIRATEN,5145,0
Graue Panther,6275,x
NPD,1591,0
Gesundheitsforschung,3768,x
LKR,475,0
DKP,2517,x
SGP,801,x
BüSo,409,x
MENSCHLICHE WELT,163,x
B*,1137,x
ÖDP,1674,0
dieBasis,8342,0
Bildet Berlin!,1790,x
Deutsche Konservative,16,x
Die Grauen,6447,x
Neue Demokraten,69,x
REP,44,0
du.,2993,0
BÜNDNIS21,786,0
FREIE WÄHLER,3923,0
Klimaliste Berlin,4103,x
MIETERPARTEI,3902,0
Die Humanisten,2659,x
Team Todenhöfer,6326,x
Volt,14047,x
