party,valid_second_votes,basic_mandates,second_votes_to_be_taken_into_account,calculation_number,mandates_integer,mandates_fraction,mandates_total
SPD,279017.0,130,1309199,27.7057,27.0,1.0,28.0
CDU,428228.0,130,1309199,42.5219,42.0,0.0,42.0
GRÜNE,278964.0,130,1309199,27.7004,27.0,1.0,28.0
DIE LINKE,185119.0,130,1309199,18.3818,18.0,0.0,18.0
AfD,137871.0,130,1309199,13.6902,13.0,1.0,14.0
Insgesamt,1309199.0,x,x,x,127.0,3.0,130.0
Mitte ,19746.0,28,279017,1.9816,1.0,1.0,2.0
"Friedrichshain-
Kreuzberg",15682.0,28,279017,1.5737,1.0,1.0,2.0
Pankow,30464.0,28,279017,3.0571,3.0,0.0,3.0
"Charlottenburg-
Wilmersdorf ",29232.0,28,279017,2.9335,2.0,1.0,3.0
Spandau ,19002.0,28,279017,1.9069,1.0,1.0,2.0
Steglitz-Zehlendorf  ,30587.0,28,279017,3.0695,3.0,0.0,3.0
"Tempelhof-
Schöneberg ",29421.0,28,279017,2.9525,2.0,1.0,3.0
Neukölln ,23535.0,28,279017,2.3618,2.0,0.0,2.0
Treptow-Köpenick ,23446.0,28,279017,2.3529,2.0,0.0,2.0
"Marzahn-
Hellersdorf ",17456.0,28,279017,1.7517,1.0,1.0,2.0
Lichtenberg  ,18958.0,28,279017,1.9025,1.0,1.0,2.0
Reinickendorf ,21488.0,28,279017,2.1564,2.0,0.0,2.0
Insgesamt,279017.0,x,x,x,21.0,7.0,28.0
Mitte ,24133.0,42,428228,2.3669,2.0,0.0,2.0
"Friedrichshain-
Kreuzberg",14317.0,42,428228,1.4042,1.0,1.0,2.0
Pankow,40499.0,42,428228,3.9721,3.0,1.0,4.0
"Charlottenburg-
Wilmersdorf ",43134.0,42,428228,4.2305,4.0,0.0,4.0
Spandau ,34531.0,42,428228,3.3868,3.0,0.0,3.0
Steglitz-Zehlendorf  ,53572.0,42,428228,5.2543,5.0,0.0,5.0
"Tempelhof-
Schöneberg ",45975.0,42,428228,4.5092,4.0,1.0,5.0
Neukölln ,31101.0,42,428228,3.0503,3.0,0.0,3.0
Treptow-Köpenick ,33911.0,42,428228,3.3259,3.0,0.0,3.0
"Marzahn-
Hellersdorf ",34847.0,42,428228,3.4177,3.0,1.0,4.0
Lichtenberg  ,29591.0,42,428228,2.9022,2.0,1.0,3.0
Reinickendorf ,42617.0,42,428228,4.1798,4.0,0.0,4.0
Insgesamt,428228.0,x,x,x,37.0,5.0,42.0
